text,label,token_count,text_length
"['for', 'the', 'loss', 'of', 'close', 'friend', 'or', 'relative']",sadness,9,42
"['am', 'true', 'to', 'what', 'feel', 'and', 'have', 'come', 'to', 'understand', 'that', 'am', 'not', 'being', 'faithful', 'to', 'the', 'girl', 'but', 'rather', 'to', 'myself']",love,25,114
"['don', 'know', 'what', 'to', 'do', 'about', 'it', 'or', 'how', 'to', 'do', 'it', 'almost', 'feeling', 'angry', 'within', 'myself', 'that', 'can', 'do', 'something', 'tangible', 'and', 'pragmatic', 'to', 'help', 'my', 'sisters']",anger,32,151
"['just', 'remember', 'spending', 'hours', 'trying', 'to', 'bump', 'my', 'score', 'above', 'the', 'mark', 'and', 'feeling', 'frustrated', 'by', 'the', 'questions', 'they', 'were', 'mixture', 'of', 'professor', 'generated', 'and', 'usmleasy', 'ones']",anger,29,170
"['ive', 'been', 'feeling', 'really', 'energetic', 'at', 'night', 'and', 'honestly', 'needed', 'this']",joy,12,69
"['seem', 'to', 'see', 'the', 'five', 'years', 'after', 'the', 'chinese', 'pavilion', 'which', 'is', 'the', 'content', 'of', 'the', 'exhibition', 'on', 'immigration', 'but', 'to', 'see', 'the', 'plateau', 'province', 'in', 'this', 'country', 'is', 'treated', 'as', 'one', 'country', 'so', 'feel', 'very', 'unhappy', 'and', 'think', 'this', 'is', 'national', 'tourist', 'attraction', 'they', 'point', 'then', 'why', 'not', 'prudent']",sadness,54,288
"['feel', 'horrible', 'most', 'of', 'the', 'time']",sadness,7,32
"['ive', 'gone', 'for', 'my', 'training', 'or', 'swim', 'then', 'feel', 'energised', 'and', 'be', 'productive', 'like', 'actually', 'cleaning', 'my', 'room']",joy,21,107
"['feel', 'irritated', 'that', 'he', 'either', 'interrupts', 'my', 'quiet', 'time', 'or', 'wakes', 'me', 'up']",anger,14,71
"['feel', 'like', 'its', 'about', 'supporting', 'something', 'that', 'you', 'believe', 'in']",love,11,62
"['feel', 'smart', 'and', 'want', 'to', 'show', 'it', 'off']",joy,10,38
"['feel', 'quite', 'nervous', 'and', 'scared', 'too', 'scared', 'cos', 'ill', 'be', 'taking', 'the', 'plane', 'back', 'to', 'singapore', 'on', 'my', 'own', 'cos', 'cant', 'stay', 'as', 'long', 'as', 'my', 'two', 'other', 'friends', 'have', 'planned']",fear,35,163
"['couldnt', 'help', 'but', 'feel', 'little', 'out', 'of', 'place', 'in', 'our', 'casual', 'attire']",joy,14,66
"['simply', 'can', 'help', 'but', 'feel', 'dissatisfied', 'after', 'reading', 'glancing', 'through', 'each']",anger,13,77
"['cant', 'wait', 'till', 'the', 'summer', 'when', 'we', 'feel', 'somewhat', 'carefree', 'once', 'again']",joy,13,69
"['feel', 'very', 'passionate', 'about', 'this', 'because', 'of', 'children', 'reared', 'within', 'the', 'evangelical', 'church', 'leave', 'it', 'before', 'they', 'are']",joy,19,115
"['thought', 'of', 'that', 'feeling', 'of', 'delicious', 'isolation', 'feel', 'when', 'am', 'absorbed', 'in', 'quest', 'each', 'revelation', 'leading', 'to', 'questions', 'then', 'answers', 'then', 'more', 'questions', 'cave', 'came', 'to', 'mind', 'at', 'first', 'lined', 'with', 'ancient', 'and', 'wisdom', 'filled', 'tomes', 'deep', 'comfortable', 'chair', 'and', 'large', 'paper', 'strewn', 'table', 'in', 'the', 'centre']",joy,53,295
"['feel', 'as', 'defeated', 'as', 'did', 'today', 'wonder', 'if', 'im', 'doing', 'this', 'parenting', 'thing', 'all', 'wrong']",sadness,18,85
"['began', 'to', 'feel', 'unimportant', 'misunderstood', 'the', 'odd', 'one', 'out']",sadness,10,57
"['feel', 'listless', 'and', 'completely', 'unmotivated', 'to', 'do', 'anything', 'but', 'will', 'bake', 'some', 'almond', 'poppy', 'seed', 'bread', 'and', 'make', 'pot', 'of', 'chicken', 'noodle', 'soup', 'in', 'an', 'effort', 'to', 'be', 'less', 'than', 'useless', 'today']",sadness,35,183
"['feared', 'would', 'feel', 'resentful', 'of', 'her', 'or', 'this', 'process', 'but', 'dont', 'and', 'am', 'so', 'happy', 'about', 'that']",anger,21,94
"['feel', 'any', 'artist', 'that', 'puts', 'forth', 'piece', 'of', 'work', 'even', 'ones', 'do', 'not', 'agree', 'with', 'should', 'be', 'respected', 'even', 'if', 'it', 'just', 'for', 'the', 'sake', 'of', 'them', 'overcoming', 'the', 'shackles', 'of', 'our', 'society', 'norms']",joy,39,185
"['even', 'picked', 'out', 'beautiful', 'pearly', 'looking', 'snaps', 'and', 'is', 'soft', 'and', 'comfy', 'feels', 'like', 'caring', 'for', 'myself']",love,18,99
"['tend', 'to', 'lose', 'feel', 'for', 'the', 'water', 'pretty', 'quickly', 'when', 'im', 'not', 'in', 'the', 'water', 'every', 'other', 'day', 'and', 'felt', 'this', 'during', 'the', 'race']",joy,26,121
"['feel', 'calm', 'with', 'her']",joy,5,20
"['feel', 'really', 'pissed', 'off', 'justanswer']",anger,6,35
"['feel', 'like', 'it', 'boy', 'would', 'be', 'pretty', 'shocked', 'if', 'it', 'was', 'so', 'somewhere', 'in', 'there', 'my', 'gut', 'or', 'my', 'brain', 'is', 'saying', 'girl']",surprise,27,114
"['guess', 'similar', 'viewpoint', 'might', 'be', 'when', 'we', 'feel', 'smug', 'or', 'better', 'than', 'someone', 'else']",joy,16,82
"['ive', 'been', 'feeling', 'so', 'jaded']",sadness,5,25
"['im', 'actually', 'feeling', 'little', 'smug']",joy,6,33
"['id', 'feel', 'better', 'later', 'in', 'the', 'school', 'year']",joy,8,39
"['said', 'feeling', 'little', 'shaky', 'as', 'stared', 'at', 'the', 'ocean', 'from', 'which', 'the', 'goddess', 'was', 'rising', 'not', 'knowing', 'why']",fear,21,104
"['were', 'saying', 'that', 'we', 'were', 'feeling', 'overwhelmed', 'with', 'our', 'life', 'right', 'now']",surprise,13,70
"['am', 'feeling', 'very', 'inadequate', 'about', 'how', 'to', 'share', 'my', 'feelings', 'and', 'of', 'how', 'to', 'write', 'this', 'blog', 'post', 'but', 'am', 'going', 'to', 'give', 'it', 'go', 'and', 'hope', 'that', 'it', 'makes', 'sense']",sadness,34,154
"['already', 'feel', 'sleep', 'deprived', 'and', 'short', 'on', 'time', 'but', 'if', 'really', 'want', 'to', 'become', 'person', 'that', 'can', 'be', 'proud', 'of', 'need', 'to', 'start', 'investing', 'and', 'stop', 'paying', 'the', 'minimum', 'amount', 'on', 'my', 'credit', 'card']",sadness,39,189
"['told', 'him', 'it', 'is', 'because', 'asians', 'are', 'very', 'considerate', 'so', 'whenever', 'person', 'is', 'not', 'feeling', 'well', 'they', 'would', 'have', 'the', 'common', 'courtesy', 'to', 'wear', 'mask', 'to', 'reduce', 'risk', 'of', 'spreading', 'it', 'to', 'people', 'around', 'us']",joy,38,195
"['feel', 'completely', 'agitated']",anger,4,26
"['just', 'remember', 'feeling', 'so', 'much', 'pain', 'and', 'being', 'confused', 'and', 'scared', 'and', 'convinced', 'that', 'could', 'not', 'do', 'this']",fear,20,105
"['am', 'feeling', 'like', 'painting', 'tonight', 'and', 'simply', 'being', 'creative']",joy,10,60
"['never', 'feel', 'like', 'have', 'it', 'perfect', 'sometimes', 'lean', 'little', 'too', 'heavy', 'on', 'the', 'work', 'which', 'means', 'more', 'chaos', 'at', 'home', 'and', 'sometimes', 'lean', 'little', 'too', 'heavy', 'on', 'the', 'home', 'which', 'means', 'get', 'little', 'lonely', 'and', 'cranky']",joy,44,211
"['feel', 'resigned', 'right', 'now']",sadness,5,25
"['feel', 'somewhat', 'relieved', 'but', 'disappointed', 'that', 'of', 'the', 'two', 'qualified', 'venue', 'had', 'questioned', 'neither', 'bothered', 'to', 'make', 'the', 'observations', 'we', 'did']",joy,23,139
"['felt', 'fine', 'when', 'we', 'got', 'there', 'but', 'after', 'short', 'while', 'started', 'feeling', 'really', 'funny']",surprise,17,84
"['feel', 'like', 'bit', 'of', 'turd', 'that', 'my', 'body', 'instantly', 'rejected', 'the', 'lemonade']",sadness,15,72
"['find', 'myself', 'feeling', 'surprised', 'and', 'totally', 'unworthy', 'whenever', 'see', 'her', 'face']",surprise,13,76
"['feel', 'when', 'you', 'dont', 'talk', 'to', 'me', 'my', 'friend', 'so', 'loyal', 'and', 'free', 'dont', 'want', 'it', 'to', 'stay', 'like', 'this', 'want', 'to', 'have', 'that', 'bliss']",love,28,118
"['just', 'want', 'to', 'warn', 'you', 'that', 'im', 'feeling', 'rather', 'delicate', 'at', 'the', 'moment', 'so', 'dont', 'expect', 'too', 'much', 'from', 'me']",love,21,101
"['will', 'be', 'thinking', 'of', 'each', 'one', 'of', 'you', 'will', 'be', 'happy', 'toast', 'and', 'feel', 'my', 'sincere', 'huge', 'magical', 'group', 'hug', 'link', 'rel', 'stylesheet', 'type', 'text', 'css', 'href', 'http', 'jdelivery']",joy,31,156
"['realised', 'how', 'sick', 'was', 'of', 'working', 'and', 'feeling', 'and', 'being', 'alone']",sadness,13,64
"['thinks', 'this', 'chiefs', 'ccw', 'should', 'be', 'yanked', 'by', 'the', 'state', 'as', 'feel', 'threatened']",fear,15,75
"['start', 'to', 'feel', 'ugly', 'unloved', 'poor', 'and', 'unhappy']",sadness,9,45
"['feel', 'about', 'my', 'mommy', 'amp', 'me', 'friends', 'our', 'friendships', 'grew', 'so', 'naturally', 'the', 'strength', 'of', 'them', 'surprised', 'me']",surprise,19,104
"['have', 'always', 'wanted', 'ice', 'cream', 'when', 'feel', 'lousy']",sadness,10,48
"['feel', 'that', 'have', 'gotten', 'to', 'know', 'the', 'students', 'pretty', 'well', 'and', 'talk', 'to', 'the', 'parents', 'if', 'they', 'drop', 'their', 'students', 'off', 'for', 'the', 'day']",joy,27,128
"['am', 'feeling', 'quite', 'overwhelmed']",surprise,5,30
"['can', 'feel', 'the', 'strokes', 'getting', 'harder', 'and', 'faster', 'as', 'try', 'in', 'vain', 'to', 'find', 'that', 'release']",sadness,18,86
"['am', 'looking', 'forward', 'to', 'getting', 'baptized', 'maybe', 'but', 'not', 'until', 'feel', 'devoted', 'and', 'broken', 'in', 'front', 'of', 'the', 'lord']",love,21,107
"['ill', 'be', 'whingeing', 'about', 'how', 'much', 'ache', 'but', 'at', 'least', 'can', 'feel', 'slightly', 'virtuous', 'about', 'it', 'too']",joy,19,93
"['can', 'begin', 'to', 'process', 'the', 'emotions', 'am', 'also', 'feeling', 'from', 'pregnancy', 'which', 'would', 'have', 'been', 'welcomed', 'if', 'it', 'had', 'been', 'under', 'different', 'physical', 'conditions', 'but', 'these', 'thoughts', 'are', 'for', 'my', 'next', 'blog']",joy,35,192
"['feel', 'relaxed', 'at', 'airports', 'are', 'the', 'times', 'the', 'do', 'occasionally', 'occur', 'when', 'have', 'no', 'luggage', 'especially', 'exceptional', 'luggage']",joy,20,120
"['don', 'feel', 'superior', 'to', 'people', 'who', 'have', 'made', 'different', 'choices', 'or', 'threatened', 'by', 'them']",joy,16,85
"['feel', 'am', 'not', 'that', 'sociable', 'enough', 'thus', 'for', 'friends', 'wise', 'guess', 'do', 'not', 'miss', 'most', 'of', 'them']",joy,21,93
"['have', 'feeling', 'may', 'be', 'popular', 'with', 'the', 'lady', 'folk']",joy,12,52
"['have', 'no', 'idea', 'why', 'am', 'feeling', 'so', 'aching', 'when', 'am', 'just', 'thinking', 'about', 'it', 'and', 'the', 'day', 'have', 'not', 'come', 'yet']",sadness,24,104
"['feel', 'that', 'im', 'in', 'your', 'heart', 'and', 'you', 'know', 'im', 'worry', 'and', 'caring', 'about', 'you', 'wherever', 'you', 'go', 'unless', 'im', 'following', 'you', 'beside', 'really', 'like', 'it', 'when', 'baby', 'text', 'me', 'in', 'sometime', 'that', 'never', 'thought', 'will']",love,41,195
"['will', 'feel', 'triumphant']",joy,4,22
"['feel', 'like', 'your', 'child', 'is', 'worthless', 'even', 'though', 'they', 'passed', 'the', 'assessments', 'better', 'than', 'anyone', 'who', 'applied', 'with', 'college', 'education']",sadness,22,131
"['care', 'very', 'little', 'about', 'impressing', 'people', 'unless', 'its', 'person', 'who', 'feel', 'deserves', 'being', 'impressed']",surprise,17,98
"['have', 'large', 'parcel', 'of', 'time', 'or', 'am', 'feeling', 'reluctant', 'to', 'write', 'set', 'our', 'kitchen', 'timer', 'for', 'minutes', 'and', 'write', 'until', 'the', 'bell', 'rings']",fear,26,129
"['looked', 'around', 'and', 'once', 'again', 'was', 'disappointed', 'that', 'so', 'little', 'had', 'shown', 'up', 'this', 'evening', 'but', 'apparently', 'this', 'was', 'my', 'day', 'to', 'feel', 'selfish']",anger,25,135
"['feel', 'like', 'am', 'doomed', 'for', 'the', 'rest', 'of', 'my', 'life']",sadness,12,47
"['feel', 'if', 'you', 're', 'learning', 'about', 'your', 'purpose', 'and', 'the', 'workings', 'of', 'this', 'universe', 'and', 'continue', 'to', 'evolve', 'and', 'transcend', 'you', 'will', 'be', 'productive', 'and', 'such', 'along', 'the', 'journey']",joy,30,165
"['have', 'been', 'so', 'busy', 'feel', 'like', 'have', 'free', 'time', 'at', 'home']",joy,14,56
"['am', 'made', 'to', 'feel', 'useless']",sadness,6,25
"['feel', 'to', 'you', 'or', 'dad', 'because', 'dad', 'is', 'pissed', 'about', 'the', 'dishes', 'and', 'will', 'in', 'turn', 'belittle', 'the', 'way', 'feel', 'to', 'simply', 'me', 'being', 'spoiled', 'little', 'bitch', 'who', 'doesn', 'do', 'jack', 'around', 'the', 'house']",anger,38,179
"['like', 'to', 'do', 'it', 'makes', 'me', 'feel', 'very', 'out', 'of', 'control', 'and', 'since', 'went', 'through', 'stage', 'of', 'not', 'caring', 'about', 'my', 'diabetes', 'and', 'not', 'checking', 'my', 'levels', 'don', 'really', 'want', 'to', 'feel', 'like', 'that', 'again']",love,40,185
"['feel', 'unhappy', 'it', 'is', 'no', 'help', 'for', 'me', 'that', 'other', 'persons', 'say', 'that', 'am', 'happy', 'how', 'much', 'truth', 'there', 'may', 'be', 'in', 'it']",sadness,25,108
"['feel', 'so', 'numb', 'that', 'wonder', 'whether', 'im', 'still', 'human']",sadness,11,51
"['feel', 'like', 'someone', 'strange', 'uncle', 'trying', 'to', 'break', 'the', 'ice', 'at', 'party', 'by', 'showing', 'this', 'amazing', 'talent', 'thinking', 'that', 'guests', 'will', 'be', 'impressed', 'but', 'in', 'turn', 'just', 'made', 'everything', 'hundred', 'times', 'more', 'awkward']",fear,37,202
"['feel', 'like', 'it', 'going', 'to', 'be', 'something', 'shockingly', 'amazing']",joy,11,57
"['read', 'her', 'novels', 'to', 'make', 'me', 'feel', 'relaxed']",joy,9,41
"['feel', 'like', 'shes', 'just', 'so', 'distracted', 'but', 'when', 'it', 'comes', 'to', 'my', 'year', 'old', 'brother', 'she', 'waits', 'on', 'him', 'hand', 'and', 'foot']",anger,23,107
"['feel', 'reluctant', 'to', 'share', 'because', 'my', 'experiences', 'feel', 'incomplete', 'especially', 'now', 'that', 'my', 'ideas', 'are', 'making', 'shift']",fear,19,112
"['feel', 'totally', 'exhausted', 'and', 'over', 'tired']",sadness,7,39
"['want', 'to', 'stop', 'feeling', 'so', 'worthless']",sadness,7,35
"['hope', 'that', 'by', 'telling', 'them', 'ill', 'find', 'out', 'more', 'about', 'who', 'am', 'how', 'got', 'to', 'this', 'place', 'in', 'time', 'and', 'not', 'feel', 'so', 'lost', 'and', 'alone']",sadness,29,123
"['feel', 'bit', 'more', 'loving', 'energy', 'inside', 'connecting', 'with', 'you']",love,11,58
"['im', 'feeling', 'little', 'bit', 'melancholy', 'tonight']",sadness,7,42
"['feel', 'like', 'it', 'must', 'be', 'popular', 'choice', 'to', 'have', 'alterations', 'done', 'elsewhere']",joy,14,74
"['im', 'feeling', 'really', 'shaken', 'up', 'today', 'my', 'stomach', 'hurts', 'ibleeditout', 'ran', 'into', 'some', 'friends', 'and', 'kodi', 'has', 'been', 'complete', 'brat']",fear,22,120
"['feel', 'for', 'the', 'natives', 'who', 'welcomed', 'me', 'and', 'others', 'with', 'open', 'arms', 'and', 'hearts', 'back', 'then', 'and', 'wonder', 'how', 'they', 'cope']",joy,22,110
"['feel', 'as', 'if', 'she', 'isnt', 'faithful', 'but', 'dont', 'have', 'reason', 'to', 'should', 'approach', 'her', 'or', 'just', 'wait', 'until', 'have', 'reason', 'to', 'approach', 'her']",joy,28,129
"['feel', 'so', 'horrible', 'that', 'you', 'had', 'to', 'go', 'through', 'all', 'that', 'just', 'because', 'you', 'grew', 'up', 'little', 'earlier', 'than', 'your', 'friends']",sadness,23,114
"['feel', 'so', 'useless', 'to', 'her', 'because', 'the', 'help', 'want', 'to', 'give', 'her', 'is', 'the', 'kind', 'she', 'doesnt', 'believe', 'in', 'and', 'doesnt', 'want']",sadness,24,110
"['feel', 'so', 'jakun', 'that', 'amused', 'me', 'for', 'whole', 'minutes']",joy,10,48
"['am', 'feeling', 'less', 'than', 'glam', 'at', 'the', 'moment', 'to', 'be', 'reminded', 'of', 'our', 'lovely', 'nuptials', 'last', 'summer']",love,18,91
"['feel', 'in', 'my', 'heart', 'and', 'how', 'much', 'im', 'hurt']",sadness,10,39
"['feel', 'like', 'life', 'is', 'too', 'good', 'to', 'be', 'true']",joy,10,39
"['would', 'take', 'days', 'that', 'would', 'feel', 'low', 'tuck', 'them', 'away', 'and', 'ignore', 'it', 'rather', 'than', 'sitting', 'in', 'it', 'like', 'had', 'learned', 'to', 'do', 'in', 'the', 'past', 'to', 'get', 'through', 'these', 'moments']",sadness,34,160
"['hate', 'struggling', 'to', 'enjoy', 'life', 'but', 'at', 'the', 'same', 'time', 'feel', 'guilty', 'when', 'do']",sadness,17,76
"['used', 'feel', 'frustrated', 'all', 'the', 'time']",anger,7,35
"['knew', 'needed', 'to', 'get', 'over', 'there', 'but', 'had', 'been', 'dragging', 'my', 'feet', 'combo', 'of', 'feeling', 'intimidated', 'by', 'the', 'language', 'barrier', 'and', 'the', 'kids', 'nap', 'schedules']",fear,28,145
"['was', 'feeling', 'beaten', 'up', 'by', 'life', 'yesterday', 'you', 'see', 'am', 'in', 'love', 'with', 'schizofrenic', 'man', 'who', 'had', 'to', 'kick', 'out', 'of', 'my', 'house', 'for', 'having', 'boisterous', 'fights', 'with', 'himself']",sadness,33,162
"['was', 'feeling', 'very', 'overwhelmed', 'about', 'what', 'was', 'going', 'to', 'do', 'about', 'removing', 'things', 'from', 'the', 'house', 'am', 'selling', 'in', 'maryland']",fear,23,121
"['began', 'to', 'feel', 'less', 'anxious']",fear,6,28
"['feel', 'some', 'super', 'shifting', 'some', 'super', 'circles']",joy,8,45
"['started', 'feeling', 'reluctant', 'to', 'go', 'because', 'wanted', 'to', 'spend', 'some', 'time', 'with', 'my', 'family', 'before', 'left']",fear,19,98
"['feel', 'so', 'unimportant', 'which', 'im', 'probably', 'am']",sadness,8,42
"['need', 'to', 'remember', 'something', 'feel', 'like', 'it', 'and', 'not', 'be', 'distracted', 'simultaneously', 'before', 'it', 'happens']",anger,16,96
"['feel', 'that', 'we', 'are', 'often', 'at', 'the', 'forefront', 'of', 'what', 'soon', 'becomes', 'popular']",joy,14,70
"['im', 'still', 'feeling', 'quite', 'lively']",joy,5,29
"['quite', 'like', 'to', 'do', 'it', 'standing', 'on', 'public', 'transport', 'or', 'busy', 'places', 'when', 'you', 'often', 'feel', 'your', 'space', 'being', 'invaded', 'which', 'can', 'make', 'you', 'feel', 'stressed']",sadness,27,143
"['could', 'feel', 'safe', 'enough', 'doing', 'so']",joy,7,33
"['wake', 'up', 'feeling', 'triumphant']",joy,5,28
"['feel', 'very', 'apprehensive']",fear,4,24
"['feel', 'is', 'hostile', 'kinship', 'or', 'mounting', 'nausea', 'did', 'you', 'know', 'that', 'back', 'means', 'the', 'binding', 'itself']",anger,17,92
"['feel', 'like', 'im', 'being', 'punished', 'if', 'have', 'to', 'sit', 'facing', 'the', 'wall']",sadness,14,62
"['feel', 'grouchy', 'now', 'the', 'football', 'fans', 'have', 'woken', 'me', 'up', 'from', 'the', 'customary', 'sunday', 'siesta']",anger,16,86
"['feel', 'blessed', 'to', 'see', 'darn', 'good', 'talent', 'right', 'here']",love,10,49
"['am', 'starting', 'to', 'feel', 'bit', 'disheartened', 'with', 'my', 'progress', 'on', 'my', 'physical', 'tbr', 'there', 'are', 'still', 'boxes', 'of', 'books', 'next', 'to', 'my', 'bed', 'and', 'they', 'are', 'not', 'going', 'away', 'as', 'fast', 'as', 'want', 'them', 'to']",sadness,38,176
"['im', 'not', 'always', 'able', 'capture', 'the', 'essence', 'of', 'the', 'way', 'see', 'the', 'world', 'in', 'writing', 'feel', 'that', 'my', 'weird', 'way', 'of', 'thinking', 'has', 'been', 'generally', 'consistent', 'throughout', 'my', 'short', 'years']",fear,32,169
"['feel', 'so', 'uptight', 'around', 'my', 'family']",fear,7,34
"['ive', 'been', 'feeling', 'very', 'intimidated', 'and', 'overwhelmed', 'by', 'the', 'workload', 'this', 'semester', 'and', 'so', 'ive', 'just', 'been', 'avoiding', 'doing', 'what', 'need', 'to']",fear,23,130
"['have', 'noticed', 'improvement', 'is', 'in', 'the', 'gabapentin', 'and', 'last', 'nights', 'dose', 'of', 'zonisamide', 'which', 'left', 'me', 'feeling', 'very', 'relaxed']",joy,20,117
"['feel', 'especially', 'passionate', 'about']",love,5,34
"['am', 'worried', 'that', 'you', 'might', 'feel', 'pressured', 'or', 'obligated', 'that', 'wasnt', 'my', 'intention', 'and', 'am', 'sensitive', 'to', 'your', 'situation']",fear,21,116
"['just', 'feel', 'too', 'stubborn', 'to', 'give', 'up', 'on', 'dream']",anger,11,46
"['started', 'to', 'feel', 'super', 'emotional', 'all', 'the', 'time', 'which', 'was', 'so', 'strange']",joy,13,67
"['feel', 'the', 'need', 'to', 'be', 'distracted']",anger,7,32
"['im', 'supposed', 'to', 'stay', 'in', 'the', 'lively', 'room', 'but', 'as', 'an', 'explorer', 'feel', 'that', 'the', 'lively', 'room', 'simply', 'does', 'not', 'have', 'enuff', 'to', 'offer', 'me', 'and', 'have', 'decided', 'to', 'move', 'on', 'to', 'the', 'stairs', 'bedrooms', 'and', 'baffroom']",joy,38,188
"['ive', 'been', 'at', 'home', 'for', 'almost', 'week', 'now', 'from', 'the', 'hospital', 'though', 'and', 'feel', 'the', 'need', 'to', 'divulge', 'info', 'to', 'devoted', 'readers', 'who', 'have', 'felt', 'starved', 'for', 'my', 'stylings']",love,31,156
"['woke', 'up', 'at', 'around', 'am', 'or', 'am', 'the', 'next', 'day', 'crunched', 'at', 'the', 'bed', 'because', 'was', 'feeling', 'terrible', 'headache', 'so', 'painful', 'was', 'awaken', 'from', 'my', 'sleep']",sadness,30,141
"['feel', 'amused', 'and', 'kind', 'of', 'tired', 'still', 'in', 'the', 'morning']",joy,12,54
"['don', 'understand', 'why', 'musicians', 'sometimes', 'feel', 'inhibited']",fear,9,57
"['feel', 'shy', 'of', 'my', 'broken', 'english']",fear,7,31
"['forgot', 'to', 'take', 'it', 'yesterday', 'so', 'this', 'morning', 'took', 'two', 'feel', 'super', 'sick', 'now']",joy,17,78
"['really', 'loved', 'the', 'day', 'which', 'made', 'me', 'feel', 'such', 'gratitude', 'that', 'we', 'were', 'having', 'such', 'wonderful', 'day', 'which', 'made', 'me', 'feel', 'very', 'happy']",joy,25,127
"['feel', 'so', 'regretful', 'not', 'going', 'but']",sadness,7,33
"['would', 'feel', 'the', 'speech', 'is', 'successful', 'if', 'its', 'very', 'uplifting', 'and', 'gives', 'props', 'to', 'the', 'graduating', 'class']",joy,18,99
"['feel', 'super', 'glued', 'to', 'my', 'bed']",joy,7,28
"['have', 'bunch', 'of', 'ideas', 'but', 'at', 'the', 'same', 'time', 'feel', 'intimidated', 'because', 'am', 'just', 'freshman', 'and', 'apparently', 'know', 'nothing', 'about', 'anything']",fear,26,135
"['feel', 'irritated', 'and', 'helpless']",anger,5,29
"['walked', 'away', 'from', 'them', 'feeling', 'discouraged', 'about', 'how', 'technology', 'seems', 'to', 'have', 'replaced', 'relationships', 'in', 'so', 'many', 'ways', 'lately', 'and', 'what', 'did', 'do']",sadness,25,142
"['could', 'feel', 'this', 'way', 'but', 'honestly', 'believe', 'that', 'he', 'was', 'and', 'is', 'very', 'violent', 'and', 'dangerous', 'man']",anger,20,96
"['am', 'feeling', 'bit', 'unsure', 'about', 'some', 'of', 'these', 'im', 'going', 'to', 'give', 'it', 'try', 'anyway']",fear,18,78
"['was', 'feeling', 'productive']",joy,4,24
"['mean', 'think', 'about', 'how', 'that', 'would', 'feel', 'that', 'would', 'be', 'stupid', 'embarrassing']",sadness,13,72
"['im', 'excited', 'and', 'feel', 'like', 'this', 'is', 'project', 'that', 'can', 'be', 'passionate', 'about', 'and', 'totally', 'immerse', 'myself', 'in']",love,21,105
"['experienced', 'that', 'feeling', 'that', 'people', 'get', 'when', 'they', 'are', 'charmed', 'or', 'attracted', 'to', 'someone', 'and', 'that', 'time', 'was', 'enough', 'and', 'blessing', 'in', 'itself', 'for', 'me']",joy,27,145
"['ive', 'definitely', 'been', 'feeling', 'low', 'this', 'past', 'week', 'because', 'ive', 'been', 'sick', 'ever', 'since', 'bfd', 'but', 'im', 'determined', 'to', 'get', 'my', 'health', 'back']",sadness,23,123
"['cant', 'seem', 'to', 'command', 'it', 'feeling', 'im', 'sure', 'anyone', 'can', 'relate', 'to']",joy,14,64
"['im', 'strictly', 'on', 'coke', 'and', 'jo', 'still', 'feeling', 'tad', 'delicate', 'after', 'last', 'nights', 'bucket', 'of', 'doom', 'anaesthetic']",love,18,100
"['walked', 'away', 'feeling', 'little', 'dismayed', 'but', 'ive', 'got', 'mission', 'to', 'carry', 'out', 'now']",sadness,16,78
"['am', 'feeling', 'terrific', 'at', 'the', 'moment']",joy,7,35
"['feel', 'must', 'apologise', 'as', 'was', 'little', 'giggly', 'tonight', 'and', 'received', 'raised', 'eyebrow', 'from', 'sensible', 'member', 'of', 'the', 'youth', 'orchestra']",joy,25,132
"['im', 'feeling', 'more', 'stressed']",sadness,4,24
"['feel', 'so', 'hated', 'and', 'useless', 'sometimes', 'even', 'ask', 'myself', 'why', 'havent', 'killed', 'myself', 'yet']",anger,17,86
"['want', 'to', 'feel', 'affectionate']",love,5,27
"['am', 'feeling', 'little', 'adventurous', 'so', 'will', 'try', 'to', 'see', 'if', 'we', 'can', 'spook', 'our', 'pretty', 'lady']",joy,19,86
"['when', 'they', 'changed', 'my', 'office', 'to', 'another', 'room', 'without', 'my', 'agreement']",anger,11,64
"['feel', 'sorry', 'for', 'the', 'rest', 'of', 'us', 'in', 'second', 'life', 'who', 'understand', 'that', 'without', 'more', 'support', 'for', 'first', 'time', 'users', 'our', 'world', 'will', 'continue', 'on', 'its', 'slow', 'death', 'spiral']",sadness,30,157
"['do', 'feel', 'amused', 'by', 'all', 'the', 'different', 'debates', 'going', 'on', 'but', 'on', 'the', 'other', 'hand', 'felt', 'that', 'theres', 'something', 'missing']",joy,22,113
"['really', 'think', 'each', 'and', 'every', 'person', 'can', 'begin', 'to', 'sympathise', 'with', 'bernards', 'character', 'on', 'which', 'ever', 'level', 'this', 'might', 'be', 'just', 'because', 'its', 'part', 'of', 'being', 'human', 'to', 'experience', 'self', 'doubt', 'and', 'feel', 'worthless', 'and', 'ultimately', 'unnecessary', 'without', 'purpose']",sadness,40,242
"['feel', 'honored', 'that', 'you', 'accept', 'my', 'invitation']",joy,8,44
"['feel', 'like', 'am', 'in', 'ludicrous', 'speed']",sadness,8,35
"['often', 'feel', 'the', 'need', 'to', 'defend', 'just', 'about', 'anything', 'even', 'in', 'casual', 'conversation', 'like', 'blue', 'from', 'the', 'color', 'code', 'are', 'usually', 'christmas', 'fanatics', 'and', 'jump', 'in', 'and']",joy,30,160
"['forgot', 'to', 'feel', 'sentimental', 'about', 'my', 'line', 'being', 'pulled']",sadness,10,55
